,source_url,test_name,grade,Logical Fallacy Types,sentence,canocalized_fallacy_types,fallacy_types
4506,https://quizizz.com/admin/quiz/5e5820781785c8001d48cd2f/fallacies-th-grade,Fallacies- 8th grade,8th grade,It tells you to like something because a lot of people do.,"""Everyone should like coffee: 95% of teachers do!""",ad populum,it tells you to like something because a lot of people do.
45498,https://quizizz.com/admin/quiz/5dba05d87438e2001aa5613a/fallacy-practice,Fallacy Practice,10th - 12th grade,The Bandwagon Fallacy,"the phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true.""  represents which fallacy?",ad populum,bandwagon
1440,https://quizizz.com/admin/quiz/5f9607e2156afc001b2eee58/logical-fallacies,Logical Fallacies,11th grade,e) Bandwagon,I guess I should buy my 12-year-old daughter an iPhone. Everyone at her new school has one and I want her to fit in with the other kids.,ad populum,bandwagon
2893,https://quizizz.com/admin/quiz/5c58d321571452001a00e14e/logical-fallacies,Logical Fallacies,9th - University,Bandwagon Argument,"I know the professor said the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.",ad populum,bandwagon
2831,https://quizizz.com/admin/quiz/5f948dcbedafcd001e0c5506/logical-fallacies,Logical Fallacies,10th grade,bandwagon,"""Because everybody thinks this way, it must be right.""",ad populum,bandwagon
146,https://quizizz.com/admin/quiz/5f50002ffb10b3001bac74ae/logical-fallacies,Logical Fallacies,7th - 8th grade,Band Wagon,"Everyone seems to support the changes in the vacation policy, and if everyone likes them, they must be
good.",ad populum,band wagon
169,https://quizizz.com/admin/quiz/5cbde6b63d0929001a1ffc3c/logical-fallacies,Logical Fallacies,10th grade,bandwagon,"Well, every one else jumped off the roof, why can't I?",ad populum,bandwagon
43158,https://quizizz.com/admin/quiz/6013f8a0f50efb001ba7d0b4/logical-fallacies,Logical Fallacies,8th grade,bandwagon,I am voting for Smith for President because the rest of my family is voting for him.,ad populum,appeal to the crowd; bandwagon
46403,https://quizizz.com/admin/quiz/5fd6cac7d784cf001b58fb9e/aqr-fall-semester-exam,AQR Fall 2020 Semester Exam,9th - 12th grade,Appeal to popularity or numbers,"McDonald's Hamburgers, over 99 billion served.",ad populum,appeal to crowd; appeal to popularity; bandwagon
223,https://quizizz.com/admin/quiz/59e0bb2907cae4120026ca4d/logical-fallacies,Logical Fallacies,8th - 12th grade,Appeal to the Bandwagon,"Everybody else is doing it, why don't you?",ad populum,bandwagon
43300,https://quizizz.com/admin/quiz/606da344cc5eda001ba2e53c/fallacies-quiz,Fallacies Quiz,11th grade,Bandwagon,"""Everyone is doing it, you should be too!"" is an example of which fallacy?",ad populum,bandwagon
348,https://quizizz.com/admin/quiz/5f6780dc106b31001bb3e0cd/logical-fallacies,Logical Fallacies,10th - 11th grade,bandwagon,"I guess I should buy my 12-year-old daughter an iPhone. Everyone at her new school has one, and I want her to fit in with the other kids.",ad populum,bandwagon
393,https://quizizz.com/admin/quiz/60871eab7d7eb8001bf0d82a/logical-fallacies,Logical Fallacies,8th grade,Bandwagoning,Come on! Everyone else thinks the movie is great - you should too!,ad populum,bandwagon
410,https://quizizz.com/admin/quiz/601d4f7f893cd7001c42d2a7/logical-fallacies,Logical Fallacies,10th grade,Bandwagon/ Ad Populum,Millions of people drink Diet Coke every year so it must be the best soft drink in the world.,ad populum,ad populum; bandwagon
